id,区,町字,順,レイヤー,種別,名称,住所,緯度,経度,説明あり,現teaser,担当,写真ファイル名,伏せた一行,到着後の説明
7579,荒川区,荒川,1,街を見る,観光施設,泊船軒,東京都荒川区荒川7丁目17-2,35.742211,139.782278,,地図では気づかない、街の一部,,,,
7565,荒川区,荒川,2,街を見る,観光施設,ゆいの森あらかわ,東京都荒川区荒川2丁目50-1,35.739415,139.7838,,地図では気づかない、街の一部,,,,
7254,荒川区,荒川,3,街を見る,文化財,旧三河島汚水処分場喞筒場施設,東京都荒川区荒川8-25-1三河島水再生センター,35.737585,139.784987,,地図では気づかない、街の一部,,,,
7264,荒川区,荒川,4,街を見る,文化財,紙本着色善導・円光両大師画像,東京都荒川区荒川1-18-11,35.735981,139.787892,,歩いてこそ見つかる場所,,,,
7460,荒川区,荒川,5,街を見る,文化財,加藤氏屋敷跡,東京都荒川区荒川1-38付近,35.733401,139.788082,,地図では気づかない、街の一部,,,,
7393,荒川区,荒川,6,街を見る,文化財,地蔵堀の石地蔵,東京都荒川区荒川3-1,35.734523,139.784534,,地図では気づかない、街の一部,,,,
7394,荒川区,荒川,7,街を見る,文化財,袈裟塚の耳無不動,東京都荒川区荒川3-22三峰神社,35.734586,139.782193,,歩いてこそ見つかる場所,,,,
7401,荒川区,荒川,8,街を見る,文化財,庚申塔群三基（慶安五年「本地青面金剛待」銘他）,東京都荒川区荒川3-22三峰神社,35.734586,139.782193,,地図では気づかない、街の一部,,,,
7267,荒川区,荒川,9,街を見る,文化財,絹本着色献上鶴図,東京都荒川区荒川,35.733845,139.781795,,地図では気づかない、街の一部,,,,
7424,荒川区,荒川,10,街を見る,文化財,三河島山車人形・熊坂長範,東京都荒川区荒川,35.733845,139.781795,,歩いてこそ見つかる場所,,,,
7425,荒川区,荒川,11,街を見る,文化財,三河島山車人形・稲田姫,東京都荒川区荒川,35.733845,139.781795,,地図では気づかない、街の一部,,,,
7317,荒川区,荒川,12,街を見る,文化財,板碑（文安六年七月三日銘）,東京都荒川区荒川3-53-1,35.735371,139.779833,,地図では気づかない、街の一部,,,,
7358,荒川区,荒川,13,街を見る,文化財,宝篋印塔（元和七年八月十五日銘）,東京都荒川区荒川3-53-1,35.735371,139.779833,,地図では気づかない、街の一部,,,,
7404,荒川区,荒川,14,街を見る,文化財,庚申待供養碑（寛文六年十月十三日銘）,東京都荒川区荒川3-53-1,35.735371,139.779833,,地図では気づかない、街の一部,,,,
7276,荒川区,荒川,15,街を見る,文化財,木造阿弥陀如来立像（付宝永二年正月二五日銘台座）,東京都荒川区荒川3-51-3,35.735804,139.779798,,歩いてこそ見つかる場所,,,,
7316,荒川区,荒川,16,街を見る,文化財,板碑（応永三十一年四月二十日銘他）,東京都荒川区荒川3-51-3,35.735804,139.779798,,歩いてこそ見つかる場所,,,,
7265,荒川区,荒川,17,街を見る,文化財,絹本着色真言八祖画像,東京都荒川区荒川4-5-1,35.736896,139.779094,,地図では気づかない、街の一部,,,,
7577,荒川区,荒川,18,街を見る,観光施設,密厳院,東京都荒川区荒川4丁目16-3,35.73755,139.779882,,路地の奥にひっそりと残る寺,,,,
7345,荒川区,荒川,19,街を見る,文化財,板碑（天文九年四月十九日銘）,東京都荒川区荒川4-16-3,35.737547,139.779999,,地図では気づかない、街の一部,,,,
7432,荒川区,荒川,20,街を見る,文化財,三河島山車人形・熊坂長範組立技術,東京都荒川区荒川,35.736219,139.781527,,歩いてこそ見つかる場所,,,,
7333,荒川区,荒川,21,街を見る,文化財,手水鉢（安永八年二月初午銘）,東京都荒川区荒川3-65-10,35.73451,139.778692,,歩いてこそ見つかる場所,,,,
7403,荒川区,荒川,22,街を見る,文化財,庚申塔群（庚申塔四基を含む石造物十基）,東京都荒川区荒川4-10宮地六地蔵,35.737785,139.777722,,地図では気づかない、街の一部,,,,
7359,荒川区,荒川,23,街を見る,文化財,井上省三君碑,東京都荒川区荒川6-45荒川総合スポーツセンター,35.74178,139.776505,,地図では気づかない、街の一部,,,,
7336,荒川区,南千住,1,街を見る,文化財,手水鉢（弘化二歳十月日銘）,東京都荒川区南千住6-70-5,35.738817,139.796554,,歩いてこそ見つかる場所,,,,
7347,荒川区,南千住,2,街を見る,文化財,板碑（年未詳）,東京都荒川区南千住6-69-22,35.738174,139.796501,,地図では気づかない、街の一部,,,,
7398,荒川区,南千住,3,街を見る,文化財,庚申塔（延宝四年十月十一日銘）,東京都荒川区南千住6-69-22,35.738174,139.796501,,地図では気づかない、街の一部,,,,
7399,荒川区,南千住,4,街を見る,文化財,庚申塔（享保十年五月吉良日銘）,東京都荒川区南千住6-69-22,35.738174,139.796501,,歩いてこそ見つかる場所,,,,
7281,荒川区,南千住,5,街を見る,文化財,鉄製天水桶（永瀬源内富広作）,東京都荒川区南千住6-60-1,35.737158,139.79608,,地図では気づかない、街の一部,,,,
7310,荒川区,南千住,6,街を見る,文化財,松尾芭蕉の碑,東京都荒川区南千住6-60-1,35.737158,139.79608,,歩いてこそ見つかる場所,,,,
7332,荒川区,南千住,7,街を見る,文化財,加藤雀庵文・長谷川雪旦画、森昌庵追慕の碑,東京都荒川区南千住6-60-1,35.737158,139.79608,,歩いてこそ見つかる場所,,,,
7375,荒川区,南千住,8,街を見る,文化財,石造燈籠一対（文化十四年四月銘）,東京都荒川区南千住6-60-1,35.737158,139.79608,,地図では気づかない、街の一部,,,,
7385,荒川区,南千住,9,街を見る,文化財,日枝神社棟札（嘉永六年六月吉祥日銘）,東京都荒川区南千住6-60-1,35.737158,139.79608,,地図では気づかない、街の一部,,,,
7387,荒川区,南千住,10,街を見る,文化財,出羽三山供養塔（文政十年丁亥歳四月銘）,東京都荒川区南千住6-60-1,35.737158,139.79608,,地図では気づかない、街の一部,,,,
7406,荒川区,南千住,11,街を見る,文化財,庚申塔群（寛文十三年二月八日銘他）,東京都荒川区南千住6-60-1,35.737158,139.79608,,歩いてこそ見つかる場所,,,,
7430,荒川区,南千住,12,街を見る,文化財,木造大黒天像・恵比寿像,東京都荒川区南千住6-60-1,35.737158,139.79608,,地図では気づかない、街の一部,,,,
7464,荒川区,南千住,13,街を見る,文化財,富士塚,東京都荒川区南千住6-60-1,35.737158,139.79608,,地図では気づかない、街の一部,,,,
7288,荒川区,南千住,14,街を見る,文化財,小塚原村絵図,東京都荒川区南千住6-63-1荒川ふるさと文化館,35.737426,139.79541,,地図では気づかない、街の一部,,,,
7292,荒川区,南千住,15,街を見る,文化財,両岸渡世向書物,東京都荒川区南千住6-63-1荒川ふるさと文化館,35.737426,139.79541,,歩いてこそ見つかる場所,,,,
7294,荒川区,南千住,16,街を見る,文化財,伊藤家文書,東京都荒川区南千住6-63-1荒川ふるさと文化館,35.737426,139.79541,,地図では気づかない、街の一部,,,,
7297,荒川区,南千住,17,街を見る,文化財,小泉家文書,東京都荒川区南千住6-63-1荒川ふるさと文化館,35.737426,139.79541,,歩いてこそ見つかる場所,,,,
7299,荒川区,南千住,18,街を見る,文化財,尾久村役場水害関係資料,東京都荒川区南千住6-63-1荒川ふるさと文化館,35.737426,139.79541,,歩いてこそ見つかる場所,,,,
7300,荒川区,南千住,19,街を見る,文化財,関家文書,東京都荒川区南千住6-63-1荒川ふるさと文化館,35.737426,139.79541,,地図では気づかない、街の一部,,,,
7302,荒川区,南千住,20,街を見る,文化財,千住製絨所関係文書,東京都荒川区南千住6-63-1荒川ふるさと文化館,35.737426,139.79541,,歩いてこそ見つかる場所,,,,
7305,荒川区,南千住,21,街を見る,文化財,道灌山遺跡出土品,東京都荒川区南千住6-63-1荒川ふるさと文化館,35.737426,139.79541,,地図では気づかない、街の一部,,,,
